B,S,O,inning,base_state,P(Swing),P(Contact),P(Whiff),P(Foul),P(Ball),P(Strike),P(Hit),P(Out),P(Struck Out),P(Home Run),P(Extra Base Hit),P(In Play),P(Walk),P(Hit By Pitch),P(Error),P(Sacrifice),Statistically Relevant
2,2,1,1,1-1-0,63.3%,78.5%,21.5%,46.0%,31.7%,47.8%,7.5%,32.7%,19.7%,1.5%,2.5%,20.5%,0%,0.2%,0%,0%,Yes
2,2,1,1,1-0-1,63.4%,79.7%,20.3%,43.0%,29.7%,47.0%,6.9%,39.6%,23.3%,0%,1.5%,23.3%,0%,0%,0%,6.9%,Yes
2,2,1,1,0-1-1,66.2%,83.3%,16.7%,44.8%,26.9%,47.6%,8.3%,36.6%,20.0%,2.1%,2.8%,25.5%,0%,0.7%,0.7%,5.5%,Yes
2,2,1,1,1-1-1,65.6%,69.0%,31.0%,32.1%,28.1%,47.7%,8.6%,44.5%,28.9%,2.3%,4.7%,24.2%,0%,0.8%,0%,3.9%,Yes
2,2,1,2,0-0-0,63.9%,76.7%,23.3%,40.0%,30.8%,45.7%,7.2%,37.7%,21.6%,0.9%,2.6%,23.4%,0%,0.3%,0.1%,0%,Yes
2,2,1,2,1-0-0,67.4%,77.4%,22.6%,38.2%,29.0%,44.6%,7.7%,38.2%,20.1%,0.6%,2.4%,26.4%,0%,0.4%,0.4%,0%,Yes
2,2,1,2,0-1-0,68.0%,79.2%,20.8%,35.7%,27.5%,42.9%,9.2%,39.9%,20.0%,0.6%,2.6%,29.6%,0%,0.2%,0.2%,0%,Yes
2,2,1,2,0-0-1,64.2%,72.5%,27.5%,43.1%,33.3%,47.8%,6.3%,33.3%,21.4%,0%,1.9%,18.9%,0%,0%,0%,3.1%,Yes
2,2,1,2,1-1-0,65.8%,76.5%,23.5%,39.2%,29.7%,45.7%,7.4%,39.1%,22.1%,0.5%,2.0%,24.6%,0%,0.2%,0%,0%,Yes
2,2,1,2,1-0-1,61.6%,72.0%,28.0%,35.5%,35.8%,41.7%,7.9%,37.1%,22.5%,1.3%,3.3%,22.5%,0%,0%,0.7%,5.3%,Yes
2,2,1,2,0-1-1,68.7%,76.3%,23.7%,41.2%,27.7%,48.2%,6.6%,37.3%,20.5%,0.6%,1.8%,24.1%,0%,0%,0%,4.2%,Yes
2,2,1,2,1-1-1,66.4%,79.3%,20.7%,41.4%,25.2%,49.6%,9.9%,38.9%,23.7%,0.8%,1.5%,25.2%,0%,0.8%,0%,6.9%,Yes
2,2,1,3,0-0-0,65.1%,80.8%,19.2%,41.9%,29.7%,45.0%,8.0%,36.2%,19.0%,1.0%,2.9%,25.3%,0%,0.2%,0.2%,0%,Yes
2,2,1,3,1-0-0,66.0%,78.8%,21.2%,39.8%,30.2%,44.0%,8.7%,35.9%,19.4%,1.5%,3.1%,25.8%,0%,0.5%,0.2%,0%,Yes
2,2,1,3,0-1-0,63.0%,79.2%,20.8%,41.4%,33.8%,42.4%,6.2%,34.1%,16.9%,1.1%,2.4%,23.8%,0%,1.1%,0.2%,0%,Yes
2,2,1,3,0-0-1,59.6%,75.5%,24.5%,39.2%,35.1%,43.3%,8.8%,32.7%,21.1%,1.2%,1.8%,21.6%,0%,0%,0%,6.4%,Yes
2,2,1,3,1-1-0,67.3%,80.7%,19.3%,40.4%,27.9%,45.0%,8.7%,37.3%,19.0%,1.4%,3.4%,27.2%,0%,0.7%,0%,0%,Yes
2,2,1,3,1-0-1,64.8%,83.2%,16.8%,48.6%,31.5%,46.1%,9.7%,26.7%,15.2%,0.6%,2.4%,22.4%,0%,0%,0%,2.4%,Yes
2,2,1,3,0-1-1,73.0%,81.0%,19.0%,40.5%,25.8%,44.7%,8.2%,36.5%,15.7%,0%,1.9%,29.6%,0%,1.3%,0%,5.7%,Yes
2,2,1,4,0-0-0,65.1%,80.5%,19.5%,42.9%,30.0%,45.5%,7.4%,35.8%,19.0%,0.9%,2.6%,24.5%,0%,0.2%,0.3%,0%,Yes
2,2,1,4,1-0-0,64.7%,81.4%,18.6%,42.9%,29.8%,45.3%,9.8%,33.7%,18.3%,1.3%,3.3%,24.9%,0%,0.3%,0.1%,0%,Yes
2,2,1,4,0-1-0,66.8%,76.0%,24.0%,39.7%,30.3%,45.4%,9.1%,35.8%,20.7%,0.7%,2.2%,24.3%,0%,0.3%,0%,0%,Yes
2,2,1,4,0-0-1,66.0%,81.6%,18.4%,39.8%,32.1%,40.4%,9.0%,33.3%,15.4%,1.3%,1.9%,27.6%,0%,0.6%,0%,8.3%,Yes
2,2,1,4,1-1-0,66.0%,82.7%,17.3%,45.4%,31.5%,43.9%,8.1%,31.2%,15.2%,1.3%,2.5%,24.6%,0%,0.5%,0.3%,0%,Yes
2,2,1,4,1-0-1,69.0%,85.3%,14.7%,38.8%,29.2%,39.3%,11.9%,30.4%,11.9%,1.8%,4.8%,32.1%,0%,0.6%,0%,6.0%,Yes
2,2,1,4,0-1-1,67.4%,86.2%,13.8%,44.0%,26.7%,44.8%,13.4%,31.4%,16.3%,1.7%,4.7%,28.5%,0%,0.6%,0%,5.2%,Yes
2,2,1,5,0-0-0,63.8%,81.9%,18.1%,42.2%,31.0%,43.7%,8.0%,35.4%,18.3%,0.8%,2.4%,25.3%,0%,0.3%,0.3%,0%,Yes
2,2,1,5,1-0-0,63.7%,79.7%,20.3%,41.1%,32.9%,42.5%,9.6%,32.3%,17.5%,1.5%,3.8%,24.6%,0%,0.7%,0%,0%,Yes
2,2,1,5,0-1-0,62.8%,79.6%,20.4%,37.6%,33.9%,39.7%,7.9%,34.6%,16.7%,0.9%,2.4%,26.4%,0%,0.4%,0.5%,0%,Yes
2,2,1,5,0-0-1,63.7%,80.4%,19.6%,43.9%,31.0%,45.8%,10.1%,31.5%,19.0%,1.8%,3.0%,23.2%,0%,1.2%,0.6%,3.6%,Yes
2,2,1,5,1-1-0,66.0%,80.5%,19.5%,44.1%,28.9%,47.1%,8.0%,35.4%,20.1%,1.2%,3.6%,24.0%,0%,0.5%,0%,0%,Yes
2,2,1,5,1-0-1,63.3%,82.1%,17.9%,36.8%,33.3%,38.0%,7.3%,37.3%,16.7%,0.7%,2.7%,28.7%,0%,1.3%,0%,6.7%,Yes
2,2,1,5,0-1-1,65.9%,76.7%,23.3%,37.1%,29.5%,44.3%,10.8%,36.4%,21.6%,1.7%,5.1%,26.1%,0%,0.6%,0%,5.7%,Yes
2,2,1,5,1-1-1,59.8%,79.1%,20.9%,31.3%,32.1%,39.3%,7.1%,43.8%,22.3%,0.9%,4.5%,28.6%,0%,0%,0%,4.5%,Yes
2,2,1,6,0-0-0,64.6%,80.0%,20.0%,41.3%,30.6%,44.5%,7.4%,36.7%,19.3%,0.8%,2.5%,25.0%,0%,0.3%,0.1%,0%,Yes
2,2,1,6,1-0-0,66.9%,79.6%,20.4%,37.6%,28.2%,43.7%,10.4%,36.8%,19.2%,1.4%,3.4%,28.1%,0.1%,0.2%,0.1%,0%,Yes
2,2,1,6,0-1-0,60.5%,79.4%,20.6%,43.0%,35.9%,42.1%,6.1%,32.7%,17.3%,0.7%,1.8%,22.0%,0%,0.5%,0.4%,0%,Yes
2,2,1,6,0-0-1,68.6%,69.5%,30.5%,38.1%,28.8%,49.7%,6.5%,40.5%,26.1%,0%,1.3%,21.6%,0%,0%,0%,4.6%,Yes
2,2,1,6,1-1-0,62.2%,80.4%,19.6%,43.1%,33.4%,43.4%,6.6%,34.1%,18.5%,0%,1.0%,23.2%,0%,0.5%,0.2%,0%,Yes
2,2,1,6,1-0-1,63.9%,79.2%,20.8%,39.6%,32.9%,41.8%,7.0%,35.4%,17.1%,0.6%,3.2%,25.3%,0%,1.3%,0%,3.2%,Yes
2,2,1,6,0-1-1,63.2%,73.6%,26.4%,41.8%,30.6%,49.3%,6.9%,36.8%,22.9%,0%,1.4%,20.1%,0%,0%,0%,4.9%,Yes
2,2,1,6,1-1-1,70.6%,73.0%,27.0%,43.5%,23.3%,55.8%,8.0%,39.9%,27.0%,1.2%,3.7%,20.9%,0%,0.6%,0%,3.1%,Yes
2,2,1,7,0-0-0,63.5%,78.6%,21.4%,42.7%,31.5%,45.7%,6.7%,36.2%,20.4%,1.0%,2.1%,22.8%,0%,0.5%,0.3%,0%,Yes
2,2,1,7,1-0-0,63.1%,79.3%,20.7%,40.5%,32.3%,43.2%,8.8%,34.6%,19.3%,0.7%,2.3%,24.5%,0%,0.5%,0.1%,0%,Yes
2,2,1,7,0-1-0,64.7%,76.0%,24.0%,36.5%,30.9%,43.6%,7.9%,38.6%,21.5%,0.5%,2.6%,25.6%,0%,0.4%,0.5%,0.2%,Yes
2,2,1,7,0-0-1,66.7%,76.0%,24.0%,41.7%,29.2%,47.9%,7.6%,36.1%,22.2%,0%,2.8%,22.9%,0%,0%,0.7%,4.9%,Yes
2,2,1,7,1-1-0,68.2%,78.8%,21.2%,42.3%,27.5%,47.6%,7.9%,37.0%,20.0%,0.8%,2.0%,24.9%,0%,0.6%,0%,0%,Yes
2,2,1,7,1-0-1,75.4%,84.1%,15.9%,48.4%,21.6%,51.5%,12.0%,34.1%,19.2%,1.8%,4.8%,26.9%,0%,0%,0%,5.4%,Yes
2,2,1,7,0-1-1,66.3%,81.2%,18.8%,44.6%,29.6%,46.2%,7.7%,33.1%,17.8%,1.2%,4.1%,24.3%,0%,0%,0%,5.3%,Yes
2,2,1,7,1-1-1,73.5%,81.6%,18.4%,49.0%,22.0%,54.0%,8.0%,35.0%,19.0%,0.5%,2.0%,24.0%,0%,1.0%,0%,3.5%,Yes
2,2,1,8,0-0-0,63.2%,77.8%,22.2%,42.2%,31.0%,46.5%,7.6%,35.9%,21.2%,1.3%,2.8%,22.5%,0%,0.5%,0.3%,0%,Yes
2,2,1,8,1-0-0,65.7%,78.6%,21.4%,38.6%,29.8%,44.0%,9.1%,36.4%,19.3%,1.4%,3.4%,26.3%,0%,0.4%,0.2%,0%,Yes
2,2,1,8,0-1-0,61.5%,72.4%,27.6%,38.5%,34.0%,45.1%,7.1%,37.4%,23.7%,0.6%,2.4%,20.9%,0%,1.0%,0%,0%,Yes
2,2,1,8,0-0-1,65.8%,74.0%,26.0%,41.3%,31.0%,47.5%,7.0%,36.7%,22.8%,0.6%,0.6%,21.5%,0%,0%,0%,3.8%,Yes
2,2,1,8,1-1-0,63.3%,75.7%,24.3%,41.6%,31.8%,46.7%,7.1%,36.3%,22.3%,0.9%,3.3%,21.6%,0%,0%,0.2%,0%,Yes
2,2,1,8,1-0-1,67.9%,73.7%,26.3%,37.9%,27.1%,48.6%,7.1%,40.7%,24.3%,0%,1.4%,24.3%,0%,0.7%,0%,3.6%,Yes
2,2,1,8,0-1-1,64.9%,74.3%,25.7%,37.2%,31.0%,44.8%,8.0%,37.4%,21.8%,1.1%,2.3%,24.1%,0%,0.6%,0%,5.7%,Yes
2,2,1,8,1-1-1,66.3%,78.2%,21.8%,38.7%,31.0%,42.8%,9.1%,35.8%,18.7%,1.6%,4.8%,26.2%,0%,2.1%,0%,5.3%,Yes
2,2,1,9,0-0-0,64.9%,76.9%,23.1%,40.0%,30.6%,45.5%,7.3%,37.3%,21.1%,0.8%,2.2%,23.9%,0%,0.5%,0.3%,0%,Yes
2,2,1,9,1-0-0,64.4%,78.1%,21.9%,40.9%,30.8%,45.3%,6.5%,37.6%,20.5%,0.5%,2.3%,23.9%,0%,0.5%,0.2%,0%,Yes
2,2,1,9,0-1-0,62.4%,76.8%,23.2%,43.9%,33.7%,45.7%,5.5%,34.6%,19.5%,0.2%,1.3%,20.6%,0%,0.7%,0%,0%,Yes
2,2,1,9,0-0-1,70.6%,81.9%,18.1%,50.0%,25.5%,52.0%,9.8%,32.4%,20.6%,2.0%,4.9%,22.5%,0%,1.0%,0%,2.0%,Yes
2,2,1,9,1-1-0,62.2%,80.6%,19.4%,44.2%,30.5%,46.8%,8.2%,34.7%,20.8%,1.2%,3.3%,22.7%,0%,0%,0%,0%,Yes
2,2,1,9,1-0-1,72.4%,83.3%,16.7%,44.0%,23.3%,48.3%,7.8%,37.9%,18.1%,0.9%,2.6%,28.4%,0%,0%,0%,4.3%,Yes
2,2,1,9,0-1-1,70.3%,76.3%,23.7%,37.1%,25.4%,47.1%,5.1%,45.7%,24.6%,1.4%,2.2%,27.5%,0%,0.7%,0%,9.4%,Yes
2,2,1,9,1-1-1,64.6%,82.8%,17.2%,47.3%,31.2%,45.8%,6.9%,33.3%,17.4%,2.1%,4.2%,22.9%,0%,2.1%,0%,4.9%,Yes
2,2,2,1,0-0-0,60.9%,77.2%,22.8%,41.5%,34.1%,44.1%,6.3%,35.3%,20.1%,0.8%,2.6%,21.8%,0%,0.2%,0.2%,0%,Yes
2,2,2,1,1-0-0,62.4%,74.9%,25.1%,42.4%,32.7%,47.0%,6.1%,36.3%,22.2%,0.7%,2.2%,20.3%,0%,0.2%,0.1%,0%,Yes
2,2,2,1,0-1-0,61.4%,79.6%,20.4%,43.8%,34.5%,43.6%,6.3%,33.7%,18.1%,0.7%,2.5%,21.9%,0%,0.7%,0.1%,0%,Yes
2,2,2,1,0-0-1,61.2%,75.4%,24.6%,37.7%,34.4%,42.5%,7.0%,35.5%,19.4%,1.0%,1.7%,23.1%,0%,0.3%,0%,0%,Yes
2,2,2,1,1-1-0,62.3%,76.4%,23.6%,46.1%,33.9%,47.3%,5.3%,33.4%,20.2%,0.6%,2.3%,18.9%,0%,0.3%,0.3%,0%,Yes
2,2,2,1,1-0-1,63.0%,73.5%,26.5%,39.7%,31.9%,46.8%,6.9%,38.9%,24.5%,2.3%,4.2%,21.3%,0%,0.9%,0%,0%,Yes
2,2,2,1,0-1-1,68.9%,77.1%,22.9%,39.8%,27.0%,47.3%,7.1%,41.1%,22.8%,1.2%,3.3%,25.7%,0%,0%,0.4%,0%,Yes
2,2,2,1,1-1-1,61.4%,67.3%,32.7%,37.2%,33.2%,48.4%,7.6%,37.5%,26.6%,0.5%,1.6%,18.5%,0%,1.1%,0%,0%,Yes
2,2,2,2,0-0-0,63.2%,77.1%,22.9%,40.6%,31.8%,45.2%,6.9%,37.0%,21.1%,0.8%,2.4%,23.0%,0%,0.2%,0.2%,0%,Yes
2,2,2,2,1-0-0,63.1%,78.7%,21.3%,40.2%,32.0%,43.8%,6.9%,36.8%,19.7%,0.6%,2.5%,24.3%,0%,0.1%,0.3%,0%,Yes
2,2,2,2,0-1-0,59.7%,77.2%,22.8%,39.1%,36.2%,41.0%,7.2%,34.5%,19.2%,0.8%,2.3%,22.8%,0%,0.4%,0.3%,0%,Yes
2,2,2,2,0-0-1,59.9%,82.7%,17.3%,44.9%,36.7%,40.7%,8.9%,30.0%,16.5%,0.3%,1.5%,22.6%,0%,0.3%,0.3%,0%,Yes
2,2,2,2,1-1-0,60.2%,72.7%,27.3%,37.8%,35.2%,43.8%,5.7%,37.7%,22.4%,0.2%,1.5%,21.0%,0%,0%,0%,0%,Yes
2,2,2,2,1-0-1,64.7%,76.9%,23.1%,39.9%,30.8%,45.2%,6.3%,38.9%,21.3%,0.5%,1.4%,24.0%,0%,0%,0%,0%,Yes
2,2,2,2,0-1-1,59.7%,69.8%,30.2%,40.5%,37.4%,45.0%,4.3%,35.5%,22.3%,0.9%,1.4%,17.5%,0%,0.9%,0%,0%,Yes
2,2,2,2,1-1-1,58.4%,80.8%,19.2%,41.3%,37.1%,40.4%,5.6%,33.1%,16.9%,0.6%,2.2%,23.0%,0%,1.1%,0%,0%,Yes
2,2,2,3,0-0-0,63.5%,78.0%,22.0%,39.7%,31.7%,44.1%,7.2%,36.8%,20.1%,1.0%,2.4%,24.3%,0%,0.3%,0.4%,0%,Yes
2,2,2,3,1-0-0,63.2%,79.1%,20.9%,41.3%,32.6%,43.6%,8.0%,34.3%,18.9%,1.0%,3.1%,23.9%,0%,0.2%,0.4%,0%,Yes
2,2,2,3,0-1-0,62.0%,81.6%,18.4%,45.4%,33.9%,43.6%,6.9%,32.5%,16.9%,0.5%,1.6%,22.5%,0%,0.1%,0%,0%,Yes
2,2,2,3,0-0-1,59.9%,76.1%,23.9%,38.6%,37.1%,40.5%,7.5%,33.7%,18.7%,1.4%,3.1%,22.4%,0%,0.7%,0%,0%,Yes
2,2,2,3,1-1-0,67.3%,79.4%,20.6%,44.7%,28.6%,48.0%,6.7%,36.2%,19.6%,0.4%,2.0%,23.4%,0%,0.4%,0.2%,0%,Yes
2,2,2,3,1-0-1,64.4%,75.8%,24.2%,42.4%,31.2%,47.3%,4.4%,39.5%,22.4%,0.5%,1.0%,21.5%,0%,1.0%,0%,0%,Yes
2,2,2,3,0-1-1,65.7%,77.8%,22.2%,43.8%,30.5%,47.2%,7.3%,35.2%,20.2%,0.9%,2.6%,22.3%,0%,1.3%,0%,0%,Yes
2,2,2,3,1-1-1,62.0%,74.5%,25.5%,39.8%,36.1%,42.4%,8.9%,32.9%,20.3%,1.3%,3.2%,21.5%,0%,0.6%,0%,0%,Yes
2,2,2,4,0-0-0,64.0%,76.3%,23.7%,39.0%,31.0%,45.1%,7.6%,37.3%,21.2%,0.6%,2.4%,23.9%,0%,0.3%,0.1%,0%,Yes
2,2,2,4,1-0-0,65.3%,82.5%,17.5%,43.0%,30.6%,43.7%,8.8%,34.4%,17.4%,1.2%,3.2%,25.7%,0%,0.6%,0%,0%,Yes
2,2,2,4,0-1-0,61.8%,77.4%,22.6%,40.1%,34.3%,42.7%,7.2%,34.4%,19.0%,1.3%,3.2%,23.1%,0%,0.3%,0.4%,0%,Yes
2,2,2,4,0-0-1,62.6%,75.9%,24.1%,36.1%,32.8%,42.3%,8.5%,36.7%,20.3%,0.3%,4.3%,24.9%,0%,0%,0%,0%,Yes
2,2,2,4,1-1-0,65.1%,79.1%,20.9%,42.6%,31.1%,45.1%,5.8%,36.3%,18.8%,0.8%,2.0%,23.8%,0%,0.2%,0.2%,0%,Yes
2,2,2,4,1-0-1,65.5%,74.0%,26.0%,45.0%,30.0%,51.0%,5.5%,36.0%,22.5%,1.0%,1.0%,19.0%,0%,0.5%,0%,0%,Yes
2,2,2,4,0-1-1,64.3%,81.9%,18.1%,43.8%,31.7%,43.8%,7.1%,35.3%,17.9%,0.4%,1.8%,24.6%,0%,0%,0%,0%,Yes
2,2,2,4,1-1-1,68.4%,85.6%,14.4%,39.4%,28.3%,40.1%,11.8%,33.6%,13.8%,2.0%,4.6%,31.6%,0%,0.7%,0%,0%,Yes
2,2,2,5,0-0-0,64.4%,77.8%,22.2%,40.0%,30.8%,44.9%,7.8%,36.9%,20.5%,1.1%,2.7%,24.4%,0.0%,0.3%,0.2%,0%,Yes
2,2,2,5,1-0-0,60.9%,77.8%,22.2%,40.0%,33.8%,43.2%,6.7%,35.6%,19.5%,1.0%,1.9%,23.0%,0%,0.2%,0%,0%,Yes
2,2,2,5,0-1-0,62.5%,79.3%,20.7%,40.0%,33.1%,42.3%,8.8%,35.1%,19.3%,0.6%,2.0%,24.6%,0%,0.3%,0%,0%,Yes
2,2,2,5,0-0-1,61.6%,79.4%,20.6%,41.2%,36.6%,39.9%,6.5%,33.3%,16.3%,0.4%,1.4%,23.6%,0%,0.4%,0%,0%,Yes
2,2,2,5,1-1-0,65.3%,75.2%,24.8%,35.6%,30.0%,44.2%,6.2%,41.2%,22.2%,0.4%,2.2%,25.9%,0%,0%,0%,0%,Yes
2,2,2,5,1-0-1,57.2%,68.9%,31.1%,33.6%,39.9%,39.9%,8.7%,34.1%,22.6%,0.5%,1.9%,20.2%,0%,0.5%,0%,0%,Yes
2,2,2,5,0-1-1,63.4%,72.2%,27.8%,35.4%,31.7%,44.9%,8.4%,37.9%,22.9%,0.9%,2.2%,23.3%,0%,2.2%,0%,0%,Yes
2,2,2,5,1-1-1,63.3%,81.2%,18.8%,42.9%,32.9%,42.9%,8.1%,32.9%,17.1%,0.5%,2.9%,24.3%,0%,0.5%,0.5%,0%,Yes
2,2,2,6,0-0-0,60.3%,79.1%,20.9%,42.4%,33.9%,44.0%,6.4%,35.6%,20.1%,0.5%,1.6%,22.1%,0%,0.5%,0.2%,0%,Yes
2,2,2,6,1-0-0,66.2%,76.7%,23.3%,39.4%,30.9%,44.4%,8.9%,35.5%,20.0%,1.0%,2.7%,24.7%,0%,0.2%,0.2%,0%,Yes
2,2,2,6,0-1-0,63.6%,76.5%,23.5%,40.4%,31.8%,45.3%,5.9%,37.0%,20.6%,1.0%,2.2%,22.9%,0%,0.5%,0.6%,0%,Yes
2,2,2,6,0-0-1,68.5%,73.7%,26.3%,36.8%,27.5%,47.2%,5.2%,42.6%,23.0%,0%,2.6%,25.2%,0%,0.3%,0.3%,0%,Yes
2,2,2,6,1-1-0,62.7%,77.4%,22.6%,37.1%,32.5%,42.2%,8.7%,36.7%,20.3%,1.0%,2.8%,25.2%,0%,0.2%,0%,0%,Yes
2,2,2,6,1-0-1,56.5%,70.5%,29.5%,34.4%,38.4%,41.2%,8.3%,34.7%,22.7%,0.9%,2.3%,20.4%,0%,0%,0%,0%,Yes
2,2,2,6,0-1-1,62.4%,76.9%,23.1%,41.4%,32.1%,45.8%,7.0%,36.9%,21.8%,0.7%,1.8%,22.1%,0%,0.7%,0%,0%,Yes
2,2,2,6,1-1-1,66.7%,81.2%,18.8%,43.5%,30.0%,44.9%,8.2%,34.3%,18.4%,0%,2.4%,25.1%,0%,0.5%,1.0%,0%,Yes
2,2,2,7,0-0-0,64.2%,77.3%,22.7%,40.4%,30.8%,45.5%,6.9%,37.5%,20.8%,0.7%,2.0%,23.7%,0%,0.5%,0.1%,0%,Yes
2,2,2,7,1-0-0,61.6%,77.2%,22.8%,39.1%,34.0%,42.6%,7.4%,35.8%,19.8%,1.2%,2.5%,23.5%,0%,0%,0.1%,0%,Yes
2,2,2,7,0-1-0,61.7%,75.4%,24.6%,41.7%,33.8%,45.4%,6.2%,35.2%,20.7%,1.2%,1.8%,20.8%,0%,0.4%,0.1%,0%,Yes
2,2,2,7,0-0-1,65.9%,76.7%,23.3%,39.9%,29.4%,46.4%,5.5%,39.6%,21.8%,1.0%,3.1%,24.2%,0.3%,0.3%,1.0%,0%,Yes
2,2,2,7,1-1-0,61.2%,79.8%,20.2%,43.8%,31.9%,46.1%,7.1%,35.6%,21.0%,0.7%,2.0%,22.0%,0%,0.3%,0.2%,0%,Yes
2,2,2,7,1-0-1,64.7%,71.9%,28.1%,38.1%,31.6%,46.5%,7.4%,37.2%,22.8%,0.5%,1.9%,21.9%,0%,0.5%,0%,0%,Yes
2,2,2,7,0-1-1,60.2%,75.4%,24.6%,40.8%,35.6%,43.6%,8.9%,32.2%,20.3%,1.7%,2.5%,20.8%,0%,0.4%,0%,0%,Yes
2,2,2,7,1-1-1,70.0%,79.7%,20.3%,44.4%,27.0%,48.3%,9.4%,31.8%,17.2%,1.5%,4.5%,24.7%,0%,0%,0.4%,0%,Yes
2,2,2,8,0-0-0,62.2%,77.4%,22.6%,42.2%,32.5%,45.6%,6.3%,36.1%,20.6%,0.6%,2.0%,21.9%,0%,0.6%,0.1%,0%,Yes
2,2,2,8,1-0-0,63.7%,78.9%,21.1%,41.1%,32.2%,43.7%,7.2%,36.0%,19.2%,0.8%,2.2%,24.1%,0%,0.5%,0.1%,0%,Yes
2,2,2,8,0-1-0,61.1%,77.6%,22.4%,42.8%,33.8%,44.9%,6.9%,34.7%,20.6%,1.2%,2.5%,21.2%,0%,0.4%,0.2%,0%,Yes
2,2,2,8,0-0-1,61.4%,75.0%,25.0%,40.4%,31.1%,47.6%,5.1%,41.3%,25.6%,0.4%,1.2%,21.3%,0%,0%,0.4%,0%,Yes
2,2,2,8,1-1-0,63.9%,72.6%,27.4%,39.5%,32.3%,46.5%,6.1%,37.5%,22.4%,1.0%,1.5%,21.1%,0%,0.3%,0%,0%,Yes
2,2,2,8,1-0-1,61.8%,77.7%,22.3%,37.4%,34.7%,40.4%,9.8%,33.3%,18.2%,0.9%,1.8%,24.9%,0%,0%,0%,0%,Yes
2,2,2,8,0-1-1,60.8%,75.5%,24.5%,39.4%,34.5%,43.5%,6.3%,35.3%,20.0%,0.8%,1.6%,22.0%,0%,0.4%,0.4%,0%,Yes
2,2,2,8,1-1-1,64.5%,77.6%,22.4%,44.9%,31.1%,47.8%,7.5%,32.5%,19.7%,0.9%,3.5%,21.1%,0%,0%,0.4%,0%,Yes
2,2,2,9,0-0-0,64.2%,75.2%,24.8%,38.9%,30.6%,46.1%,6.7%,38.6%,22.3%,0.6%,2.1%,23.3%,0%,0.3%,0.3%,0%,Yes
2,2,2,9,1-0-0,63.7%,79.3%,20.7%,43.9%,30.3%,47.2%,7.6%,35.4%,20.5%,0.9%,2.7%,22.6%,0%,0.1%,0.1%,0%,Yes
2,2,2,9,0-1-0,63.5%,73.7%,26.3%,38.1%,31.8%,45.6%,6.9%,39.0%,23.4%,0.6%,1.6%,22.6%,0%,0.8%,0.2%,0%,Yes
2,2,2,9,0-0-1,61.8%,71.8%,28.2%,40.5%,34.9%,45.8%,6.6%,34.4%,21.7%,0.9%,2.4%,19.3%,0%,0.5%,0%,0%,Yes
2,2,2,9,1-1-0,61.1%,75.8%,24.2%,37.9%,33.3%,43.5%,7.6%,36.6%,21.6%,0.5%,2.5%,23.2%,0%,0.3%,0.3%,0%,Yes
2,2,2,9,1-0-1,71.3%,74.7%,25.3%,25.3%,26.2%,38.5%,12.3%,43.4%,20.5%,0.8%,4.1%,35.2%,0%,1.6%,0%,0%,Yes
2,2,2,9,0-1-1,62.6%,75.2%,24.8%,40.9%,34.2%,44.3%,5.9%,34.7%,19.2%,0.5%,2.7%,21.5%,0%,0.5%,0%,0%,Yes
2,2,2,9,1-1-1,67.7%,84.7%,15.3%,42.3%,28.7%,42.7%,7.3%,36.0%,15.2%,0.6%,1.8%,28.7%,0%,1.2%,0.6%,0%,Yes
3,0,0,1,0-0-0,3.5%,94.7%,5.3%,26.3%,31.7%,65.9%,0.7%,1.7%,0%,0.2%,0.4%,2.4%,31.7%,0%,0%,0%,Yes
3,0,0,1,1-0-0,12.1%,94.4%,5.6%,72.2%,40.3%,57.0%,2.0%,0.7%,0%,0%,0.7%,2.7%,40.3%,0%,0%,0%,Yes
3,0,0,2,0-0-0,8.6%,90.9%,9.1%,45.5%,29.3%,66.8%,1.0%,2.9%,0%,0.8%,0.8%,3.9%,29.3%,0%,0%,0%,Yes
3,0,0,2,1-0-0,6.6%,71.4%,28.6%,0%,27.4%,67.9%,0.9%,3.8%,0%,0%,0%,4.7%,27.4%,0%,0%,0%,Yes
3,0,0,3,0-0-0,6.4%,90.3%,9.7%,51.6%,31.6%,65.9%,0.6%,1.9%,0%,0.6%,0.6%,2.5%,31.6%,0%,0%,0%,Yes
3,0,0,3,1-0-0,11.9%,78.6%,21.4%,35.7%,23.7%,71.2%,2.5%,2.5%,0%,0.8%,1.7%,5.1%,23.7%,0%,0%,0%,Yes
3,0,0,4,0-0-0,8.7%,84.8%,15.2%,41.3%,31.9%,64.3%,2.1%,1.7%,0%,0.9%,0.9%,3.8%,31.9%,0%,0%,0%,Yes
3,0,0,4,1-0-0,15.1%,72.2%,27.8%,38.9%,32.8%,62.2%,1.7%,3.4%,0%,0.8%,1.7%,5.0%,32.8%,0%,0%,0%,Yes
3,0,0,5,0-0-0,5.0%,96.0%,4.0%,68.0%,31.8%,66.8%,0.6%,0.8%,0%,0%,0%,1.4%,31.6%,0.2%,0%,0%,Yes
3,0,0,5,1-0-0,8.3%,100.0%,0%,50.0%,29.2%,66.7%,0.8%,3.3%,0%,0.8%,0.8%,4.2%,29.2%,0%,0%,0%,Yes
3,0,0,6,0-0-0,6.8%,81.6%,18.4%,52.6%,31.0%,67.0%,0.9%,1.1%,0%,0.4%,0.9%,2.0%,30.8%,0.2%,0%,0%,Yes
